id,type_content,type_social,type_calendar,type_forum,type_wiki,type_poll,type_other,owner_type_organization,owner_type_space,owner_influence,number_of_likes,number_of_comments,reactivity,is_mentions_me,is_mentions_connections,is_commented_by_me,is_commented_by_connetions,is_liked_by_me,is_liked_by_connections,poster_gender_male,poster_gender_female,poster_is_employee,poster_is_lead,poster_is_in_connections,poster_focus_engineering,poster_focus_sales,poster_focus_marketing,poster_focus_management,poster_focus_financial,poster_focus_other,poster_influence,participant1_conversed,participant1_favored,participant1_gender_male,participant1_gender_female,participant1_is_employee,participant1_is_lead,participant1_is_in_connections,participant1_focus_engineering,participant1_focus_sales,participant1_focus_marketing,participant1_focus_management,participant1_focus_financial,participant1_focus_other,participant1_influence,participant2_conversed,participant2_favored,participant2_gender_male,participant2_gender_female,participant2_is_employee,participant2_is_lead,participant2_is_in_connections,participant2_focus_engineering,participant2_focus_sales,participant2_focus_marketing,participant2_focus_management,participant2_focus_financial,participant2_focus_other,participant2_influence,participant3_conversed,participant3_favored,participant3_gender_male,participant3_gender_female,participant3_is_employee,participant3_is_lead,participant3_is_in_connections,participant3_focus_engineering,participant3_focus_sales,participant3_focus_marketing,participant3_focus_management,participant3_focus_financial,participant3_focus_other,participant3_influence,participant4_conversed,participant4_favored,participant4_gender_male,participant4_gender_female,participant4_is_employee,participant4_is_lead,participant4_is_in_connections,participant4_focus_engineering,participant4_focus_sales,participant4_focus_marketing,participant4_focus_management,participant4_focus_financial,participant4_focus_other,participant4_influence,participant5_conversed,participant5_favored,participant5_gender_male,participant5_gender_female,participant5_is_employee,participant5_is_lead,participant5_is_in_connections,participant5_focus_engineering,participant5_focus_sales,participant5_focus_marketing,participant5_focus_management,participant5_focus_financial,participant5_focus_other,participant5_influence,rank
3,0,0,0,0,0,0,1,1,0,0.1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0.99871,1,0,0,1,0,0,1,0,0,1,0,0,0,0.99871,0,0,1,0,0,0,1,1,0,0,0,0,0,0.99927,0,0,1,0,0,0,1,0,0,0,0,0,1,0.99834,0,0,1,0,0,0,1,1,0,0,0,0,0,0.99918,0,0,1,0,0,0,1,0,0,1,0,0,0,0.99492,0.85183
1,0,0,0,0,0,0,1,1,0,0.99492,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0.0099,1,0,1,0,0,0,0,1,0,0,0,0,0,0.0099,0,0,1,0,0,0,1,1,0,0,0,0,0,0.99927,0,0,1,0,0,0,1,0,0,0,0,0,1,0.99834,0,0,0,1,0,0,1,0,0,1,0,0,0,0.99871,0,0,1,0,0,0,1,1,0,0,0,0,0,0.99918,0.72355
22,0,0,0,0,0,0,1,0,1,0.97883,2,2,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0.91103,1,0,0,1,0,0,1,0,0,1,0,0,0,0.9987,1,0,1,0,0,0,0,1,0,0,0,0,0,0.0099,0,0,1,0,0,0,1,1,0,0,0,0,0,0.99927,0,0,1,0,0,0,1,0,0,0,0,0,1,0.99832,0,0,1,0,0,0,1,1,0,0,0,0,0,0.99918,0.95349
35,0,0,0,0,0,0,1,1,0,0.98904,0,1,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0.99927,1,0,1,0,0,0,1,1,0,0,0,0,0,0.99927,0,0,1,0,0,0,1,0,0,0,0,0,1,0.99834,0,0,0,1,0,0,1,0,0,1,0,0,0,0.99871,0,0,1,0,0,0,1,1,0,0,0,0,0,0.99918,0,0,1,0,0,0,1,0,0,1,0,0,0,0.99492,0.85193
44,0,0,0,0,0,0,1,1,0,0.98904,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0.99927,0,0,1,0,0,0,1,1,0,0,0,0,0,0.99927,0,0,1,0,0,0,1,0,0,0,0,0,1,0.99834,0,0,0,1,0,0,1,0,0,1,0,0,0,0.99871,0,0,1,0,0,0,1,1,0,0,0,0,0,0.99918,0,0,1,0,0,0,1,0,0,1,0,0,0,0.99492,0.69212
54,0,0,0,0,0,0,1,1,0,0.1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0.99485,1,0,1,0,0,0,1,0,0,1,0,0,0,0.99485,0,0,1,0,0,0,1,1,0,0,0,0,0,0.99927,0,0,1,0,0,0,1,0,0,0,0,0,1,0.99832,0,0,0,1,0,0,1,0,0,1,0,0,0,0.9987,0,0,1,0,0,0,1,1,0,0,0,0,0,0.99918,0.85109
62,0,0,0,0,0,0,1,1,0,0.1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0.99918,1,0,1,0,0,0,1,1,0,0,0,0,0,0.99918,0,0,1,0,0,0,1,1,0,0,0,0,0,0.99927,0,0,1,0,0,0,1,0,0,0,0,0,1,0.99834,0,0,0,1,0,0,1,0,0,1,0,0,0,0.99871,0,0,1,0,0,0,1,0,0,1,0,0,0,0.99492,0.85192
52,0,0,0,0,0,0,1,0,1,0.99973,2,4,1,1,0,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0.99927,1,0,1,0,0,0,0,1,0,0,0,0,0,0.0099,1,0,1,0,0,0,1,0,0,1,0,0,0,0.99485,1,0,1,0,0,0,1,1,0,0,0,0,0,0.99918,1,0,1,0,0,0,1,1,0,0,0,0,0,0.99927,0,0,1,0,0,0,1,0,0,0,0,0,1,0.99832,0.97618
70,0,0,0,0,0,0,1,0,1,0.99743,2,2,1,0,1,1,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0.99918,1,0,1,0,0,0,1,0,0,1,0,0,0,0.99485,1,0,1,0,0,0,0,1,0,0,0,0,0,0.0099,1,0,1,0,0,0,1,1,0,0,0,0,0,0.99918,0,1,0,1,0,0,1,0,0,1,0,0,0,0.9987,0,0,1,0,0,0,1,1,0,0,0,0,0,0.99927,0.96802
79,0,0,0,0,1,0,0,0,1,0.99973,1,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0.99927,0,1,1,0,0,0,0,1,0,0,0,0,0,0.0099,0,0,1,0,0,0,1,1,0,0,0,0,0,0.99927,0,0,1,0,0,0,1,0,0,0,0,0,1,0.99832,0,0,0,1,0,0,1,0,0,1,0,0,0,0.9987,0,0,1,0,0,0,1,1,0,0,0,0,0,0.99918,0.82957
